CRIM SEXUAL ASSAULT,CRIMINAL DAMAGE,BATTERY,WEAPONS VIOLATION,OTHER OFFENSE,DECEPTIVE PRACTICE,OFFENSE INVOLVING CHILDREN,THEFT,OBSCENITY,SEX OFFENSE,BURGLARY,MOTOR VEHICLE THEFT,ASSAULT,CRIMINAL TRESPASS,INTERFERENCE WITH PUBLIC OFFICER,NARCOTICS,ROBBERY,LIQUOR LAW VIOLATION,STALKING,PUBLIC PEACE VIOLATION,PROSTITUTION,INTIMIDATION,ARSON,HOMICIDE,HUMAN TRAFFICKING,KIDNAPPING,PUBLIC INDECENCY,NON - CRIMINAL,GAMBLING,NON-CRIMINAL,CONCEALED CARRY LICENSE VIOLATION,OTHER NARCOTIC VIOLATION
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,91,198,23,89,134,83,151,4,31,16,23,39,19,3,43,32,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0
4,65,115,7,42,48,4,130,1,1,33,25,34,16,5,86,36,0,0,7,8,1,1,0,0,0,0,0,0,0,0,0
3,70,125,5,39,27,6,136,0,1,21,28,38,20,7,70,29,4,0,4,12,0,0,1,1,0,0,0,0,0,0,0
3,42,110,5,37,19,3,108,0,2,16,14,34,14,7,66,19,0,0,4,6,0,2,0,0,1,0,0,0,0,0,0
2,35,89,6,33,36,5,122,0,3,38,24,36,15,1,43,17,0,0,6,2,1,0,1,0,0,1,0,0,0,0,0
5,37,69,2,42,41,4,124,0,1,26,15,30,16,1,56,20,0,0,3,3,0,1,3,0,0,0,1,0,0,0,0
0,36,78,4,40,38,4,101,0,0,24,24,23,13,1,61,17,0,1,2,3,0,0,0,1,0,0,0,0,0,0,0
0,49,67,6,32,24,1,96,0,1,22,32,27,12,3,47,16,1,0,2,2,1,0,1,0,1,0,0,0,0,0,0
0,43,89,5,61,32,3,107,0,2,34,28,38,22,4,71,30,0,1,10,3,0,0,1,0,0,0,0,0,0,0,0
0,36,115,9,56,27,8,139,0,2,28,44,38,13,4,77,24,1,3,5,10,0,1,1,0,0,0,0,0,0,0,0
4,57,132,9,48,22,6,145,0,2,30,23,33,23,4,69,26,1,1,7,5,0,0,0,0,0,0,0,0,0,0,0
1,57,91,1,47,35,4,149,1,0,36,21,35,23,4,65,26,0,0,4,3,1,1,0,0,0,0,0,0,0,0,0
1,45,91,4,42,37,1,141,0,1,36,21,47,15,2,77,32,0,0,4,7,1,0,2,0,0,0,0,0,0,0,0
4,59,97,6,51,34,8,132,0,1,54,36,32,16,1,101,26,1,0,7,2,1,1,1,1,0,0,0,0,0,0,0
4,64,94,14,44,44,6,163,0,3,57,30,38,17,5,128,33,2,0,5,3,0,1,0,0,0,0,0,0,0,0,0
2,72,118,8,49,41,9,167,0,2,34,27,38,22,2,77,16,1,0,8,7,1,0,1,0,1,0,0,2,0,0,0
4,73,156,11,46,27,4,156,0,2,37,30,38,20,2,84,25,1,0,10,11,0,0,2,0,0,0,0,1,0,0,0
2,104,132,6,48,19,6,156,0,2,32,25,52,7,5,57,28,1,0,5,4,0,0,1,0,1,0,0,0,0,0,0
4,75,123,16,47,35,7,156,0,0,27,31,30,17,2,92,39,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0
3,78,126,7,60,48,5,184,0,2,46,29,56,25,0,65,41,1,1,8,2,0,0,1,0,2,0,0,0,0,0,0
3,79,118,10,46,50,4,160,0,3,45,27,50,23,4,64,29,0,0,7,10,0,2,3,0,2,0,0,0,0,0,0
4,66,118,10,50,46,7,172,0,2,57,21,48,14,6,89,23,0,1,6,6,0,0,0,0,0,0,0,0,0,0,0
1,87,137,8,47,38,4,156,0,2,46,26,61,40,7,90,23,1,0,10,11,0,0,2,0,1,0,0,0,0,0,0
7,85,126,12,49,32,5,162,0,1,31,27,41,20,4,83,36,1,0,8,18,0,2,1,0,1,0,0,1,1,0,0
5,74,135,7,45,33,5,132,0,4,29,30,38,16,4,57,20,0,0,3,5,0,1,0,0,0,0,0,0,0,0,0
1,57,108,2,44,39,6,153,0,1,42,21,48,22,3,64,33,1,1,8,0,0,0,0,0,0,0,0,0,0,0,0
2,57,104,10,58,44,8,125,0,4,38,26,41,19,8,90,16,0,1,12,3,0,1,2,0,1,0,0,0,0,0,0
3,54,106,6,48,41,2,155,0,2,27,27,32,23,3,81,18,0,1,3,9,1,0,0,0,1,0,0,0,0,0,0
3,47,116,9,42,42,6,162,0,2,36,23,49,19,3,94,21,2,3,7,11,0,0,3,0,0,0,0,0,0,0,0
4,55,115,13,53,48,9,140,0,2,39,32,41,17,5,101,26,0,2,4,2,0,1,2,0,1,0,0,1,0,0,0
3,70,132,10,40,27,5,113,0,1,26,35,35,19,2,75,19,0,0,5,13,0,1,1,0,2,0,0,0,0,0,0
6,49,98,1,46,89,8,104,0,6,23,18,32,6,0,23,14,0,0,0,6,0,0,1,0,0,0,0,0,0,0,0
4,38,77,3,37,64,5,88,0,3,19,11,42,9,1,43,13,1,0,4,0,0,1,2,0,0,0,0,0,0,0,0
3,41,94,8,30,55,3,110,0,4,18,20,38,5,5,46,18,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0
1,55,105,6,35,47,5,115,0,0,24,17,47,12,2,72,17,1,1,6,4,0,0,1,0,1,0,0,0,0,1,0
3,45,108,4,50,41,5,110,0,0,26,17,37,14,4,71,21,0,1,6,1,0,1,1,0,1,0,0,0,0,0,0
2,77,110,8,49,45,9,130,0,4,27,24,45,16,7,103,18,3,0,8,1,1,2,0,0,0,0,0,1,0,0,0
2,86,113,7,52,43,6,113,0,1,20,15,49,24,4,92,20,1,1,10,15,0,1,0,0,0,0,0,0,0,0,0
6,75,121,6,42,27,5,112,0,4,19,24,31,8,6,87,23,1,0,2,8,2,1,2,0,0,0,0,0,0,0,0
1,54,96,11,49,47,4,131,0,0,27,22,36,13,7,79,16,0,0,8,0,0,0,3,0,0,1,0,0,0,0,0
2,63,106,8,49,43,7,120,1,2,22,18,40,22,5,76,18,0,1,9,7,0,2,2,0,0,0,0,0,0,0,0
2,52,95,1,46,39,4,122,0,2,31,13,45,27,3,84,28,0,0,5,2,0,1,0,0,0,0,0,0,0,0,0
1,56,102,7,41,48,4,123,0,1,26,21,50,18,7,76,16,1,0,2,3,0,0,0,0,1,0,0,1,0,0,1
4,55,101,9,55,61,6,121,0,1,20,22,34,13,2,97,12,1,0,8,4,0,1,0,0,0,0,0,0,0,0,0
3,61,117,6,47,25,10,120,1,4,25,30,39,22,1,59,13,0,0,4,8,0,0,0,0,1,0,0,0,0,0,0
7,46,117,4,52,32,5,94,0,1,18,29,29,14,5,72,13,0,0,3,4,0,0,1,0,0,0,0,0,1,0,0
0,50,84,11,52,36,10,99,0,2,20,28,26,21,5,77,7,0,1,3,1,0,1,0,0,1,0,0,0,0,0,0
6,45,104,11,37,43,6,127,0,2,26,28,50,9,2,67,14,0,0,2,13,0,0,0,0,1,0,0,0,0,0,0
1,35,83,6,44,45,4,112,0,1,23,24,33,18,5,55,11,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0
2,41,79,6,34,37,3,102,0,2,16,31,27,12,4,48,12,0,0,3,2,0,1,0,0,0,0,0,0,0,0,0
2,54,103,1,37,60,8,130,1,1,33,31,35,21,5,82,22,4,0,2,11,2,0,2,0,0,0,1,0,0,0,0
3,71,123,10,40,31,3,140,0,0,19,27,41,14,5,85,18,2,0,4,8,1,1,1,0,2,0,0,0,0,0,0
1,52,145,11,40,32,8,103,0,1,20,17,41,16,5,67,16,1,0,5,5,0,1,1,0,1,0,0,0,0,0,0
1,47,108,7,42,44,3,130,0,3,33,26,32,19,2,46,14,0,1,9,0,0,1,0,0,1,0,0,0,0,0,0
1,58,110,10,48,35,6,113,0,0,42,33,44,18,4,73,15,1,0,6,7,0,2,0,0,0,0,0,0,0,0,0
3,46,111,4,48,42,7,96,0,1,23,21,43,11,5,67,19,0,0,7,3,2,3,3,0,1,0,0,0,0,0,0
0,48,88,7,31,48,7,111,0,3,20,12,30,14,0,74,11,0,0,4,2,0,0,0,0,2,0,0,0,0,0,0
0,46,103,5,51,59,9,135,0,1,25,28,46,19,3,80,16,1,1,5,2,0,0,0,0,1,0,0,0,0,0,0
4,55,109,9,37,27,9,104,0,2,17,20,38,22,5,62,21,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
6,73,140,8,69,71,10,125,1,9,27,32,33,13,5,84,17,2,1,1,1,1,0,0,0,1,0,0,0,0,0,0
5,56,108,9,37,47,11,130,0,1,35,33,39,15,1,97,26,0,0,3,0,1,0,1,0,0,0,0,0,0,0,0
2,49,116,5,59,52,5,115,0,1,28,26,43,17,4,77,18,0,0,9,2,0,2,0,0,1,0,0,0,0,0,0
7,41,125,6,35,44,4,120,0,0,19,17,34,14,1,69,11,0,0,6,2,0,1,0,0,1,0,0,0,0,0,0
3,52,101,9,64,41,6,110,0,1,23,15,53,17,2,79,18,1,0,9,4,0,1,0,0,0,0,0,0,0,0,0
0,61,118,12,50,65,13,135,0,1,34,28,36,21,3,95,20,1,1,9,4,0,0,0,0,0,0,0,0,0,0,0
3,71,146,8,49,45,11,122,0,3,19,24,43,16,2,79,29,0,0,12,6,1,1,3,0,1,0,0,0,0,0,0
6,59,128,9,32,15,11,133,0,1,22,23,47,22,1,90,11,1,0,8,0,1,1,2,0,0,0,0,1,0,0,0
4,63,129,10,56,61,3,137,0,8,29,20,65,15,4,73,25,0,1,11,0,1,2,4,0,0,0,0,1,0,0,0
